1, Louvre 
2, Bourse 
3, Temple 
4, Hôtel-de-Ville 
5, Panthéon 
6, Luxembourg 
7, Palais-Bourbon 
8, Élysée 
9, Opéra 
10, Entrepôt 
11, Popincourt 
12, Reuilly 
13, Gobelins 
14, Observatoire 
15, Vaugirard 
16, Passy 
17, Batignolles-Monceau 
18, Butte-Montmartre 
19, Buttes-Chaumont 
20, Ménilmontant 
